CWE ID,commit ID,reason
190.0,0740641e932551342cc1737d981e950ecffa3b63,no functions changed
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,no functions changed
190.0,0740641e932551342cc1737d981e950ecffa3b63,no functions changed
190.0,0740641e932551342cc1737d981e950ecffa3b63,no functions changed
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,no functions changed
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,no functions changed
190.0,0740641e932551342cc1737d981e950ecffa3b63,no functions changed
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,unknown language
190.0,0740641e932551342cc1737d981e950ecffa3b63,no functions changed
190.0,0740641e932551342cc1737d981e950ecffa3b63,list index out of range
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,unknown language
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
nan,046b05082dee1df500fc36b3db884101f7449383,no functions changed
